Recency,Frequency,Monetary,Cluster,Segment
20,3,27697,1,Regular Shoppers
4,6,117394,3,Potential High-Value
37,6,58994,1,Regular Shoppers
69,10,116090,3,Potential High-Value
154,2,69998,1,Regular Shoppers
240,1,1499,2,Churned Customers
124,10,22890,1,Regular Shoppers
400,3,67997,2,Churned Customers
13,10,168490,3,Potential High-Value
42,6,75994,1,Regular Shoppers
39,10,40556,1,Regular Shoppers
86,8,47192,1,Regular Shoppers
105,3,4097,1,Regular Shoppers
121,7,28993,1,Regular Shoppers
23,8,96942,3,Potential High-Value
5,4,30696,1,Regular Shoppers
78,4,19096,1,Regular Shoppers
245,10,13040,1,Regular Shoppers
384,2,5998,2,Churned Customers
47,7,93493,3,Potential High-Value
51,6,63394,1,Regular Shoppers
131,3,38397,1,Regular Shoppers
337,4,51996,2,Churned Customers
19,7,102903,3,Potential High-Value
81,6,6694,1,Regular Shoppers
132,10,59741,1,Regular Shoppers
302,3,44997,2,Churned Customers
191,4,9846,1,Regular Shoppers
137,2,1498,1,Regular Shoppers
317,2,23348,2,Churned Customers
100,2,898,1,Regular Shoppers
12,14,104416,3,Potential High-Value
18,10,75140,3,Potential High-Value
11,26,292511,0,Loyal Customers
199,5,11195,1,Regular Shoppers
205,8,116192,3,Potential High-Value
44,14,76886,3,Potential High-Value
36,7,95093,3,Potential High-Value
1,29,325971,0,Loyal Customers
158,10,137640,3,Potential High-Value
10,18,36078,3,Potential High-Value
41,8,37492,1,Regular Shoppers
4,16,129014,3,Potential High-Value
3,23,251977,0,Loyal Customers
26,6,122694,3,Potential High-Value
156,3,16868,1,Regular Shoppers
216,5,19995,1,Regular Shoppers
17,5,40095,1,Regular Shoppers
9,6,9194,1,Regular Shoppers
38,8,89392,3,Potential High-Value
93,8,99692,3,Potential High-Value
136,6,45294,1,Regular Shoppers
58,7,54243,1,Regular Shoppers
237,6,60094,1,Regular Shoppers
164,8,16072,1,Regular Shoppers
46,18,152004,3,Potential High-Value
117,6,45294,1,Regular Shoppers
37,6,44794,1,Regular Shoppers
24,5,27495,1,Regular Shoppers
20,9,102871,3,Potential High-Value
103,4,33396,1,Regular Shoppers
284,3,44997,2,Churned Customers
167,10,158690,3,Potential High-Value
35,6,39194,1,Regular Shoppers
24,10,85290,3,Potential High-Value
21,23,187177,0,Loyal Customers
71,2,1998,1,Regular Shoppers
23,7,77664,1,Regular Shoppers
8,47,256256,0,Loyal Customers
22,25,156525,0,Loyal Customers
34,7,42993,1,Regular Shoppers
313,3,21397,2,Churned Customers
12,2,94998,1,Regular Shoppers
102,19,190011,3,Potential High-Value
152,4,14996,1,Regular Shoppers
0,8,51292,1,Regular Shoppers
10,17,326283,0,Loyal Customers
39,8,36142,1,Regular Shoppers
69,4,24626,1,Regular Shoppers
171,8,95392,1,Regular Shoppers
81,11,70310,3,Potential High-Value
9,10,65740,3,Potential High-Value
29,1,499,1,Regular Shoppers
68,5,4095,1,Regular Shoppers
23,5,11995,1,Regular Shoppers
324,2,27998,2,Churned Customers
30,6,20494,1,Regular Shoppers
16,5,2075,1,Regular Shoppers
90,29,255957,0,Loyal Customers
110,10,144700,3,Potential High-Value
349,3,1547,2,Churned Customers
63,29,203301,0,Loyal Customers
9,10,54390,1,Regular Shoppers
65,5,46095,1,Regular Shoppers
39,7,61393,1,Regular Shoppers
17,9,81391,3,Potential High-Value
582,1,39999,2,Churned Customers
1,7,75193,1,Regular Shoppers
317,10,99390,2,Churned Customers
182,3,35897,1,Regular Shoppers
59,3,40247,1,Regular Shoppers
5,12,130338,3,Potential High-Value
68,5,104995,3,Potential High-Value
670,1,149,2,Churned Customers
23,4,29496,1,Regular Shoppers
75,6,11894,1,Regular Shoppers
14,18,252948,0,Loyal Customers
103,4,6996,1,Regular Shoppers
8,30,287720,0,Loyal Customers
3,26,279074,0,Loyal Customers
128,4,31746,1,Regular Shoppers
